Unnamed: 0,Ratings,RAM,ROM,Mobile_Size,Primary_Cam,Selfi_Cam,Battery_Power,Price
451,4.1,6.0,32.0,4.5,64,8.0,3000,1599
767,3.7,6.0,32.0,2.0,64,9.78483245149912,1550,1699
777,4.1,3.0,32.0,5.7,38,1.0,2900,9990
512,4.4,6.0,64.0,6.41,48,13.0,3600,18989
523,4.3,8.0,64.0,4.4,64,13.0,3500,1100
94,4.2,3.0,25.0,4.5,64,9.78483245149912,3800,1790
11,3.8,6.0,32.0,4.5,64,8.0,1050,1299
457,3.9,6.0,32.0,4.54,48,9.78483245149912,3000,1330
43,4.1,8.0,128.0,6.4,35,20.0,3000,31590
42,3.8,3.0,32.0,6.2,48,8.0,3000,15899
167,4.1,6.0,32.0,4.54,48,8.0,3000,899
732,4.6,8.0,256.0,6.41,48,5.0,3000,36999
743,4.1,6.0,32.0,4.5,48,9.78483245149912,3000,985
638,3.5,6.0,64.0,4.5,48,9.78483245149912,3000,599
432,4.5,8.0,128.0,6.7,64,1.0,4700,77999
178,4.4,2.0,16.0,6.1,38,2.0,3800,6499
595,4.0,2.0,32.0,6.2,38,2.0,3800,9989
559,4.7,12.0,64.0,4.7,35,7.0,3500,56999
177,4.2,6.0,32.0,4.54,64,9.78483245149912,3000,990
673,3.7,6.0,32.0,4.5,64,9.78483245149912,1050,699
580,4.5,6.0,128.0,6.39,48,13.0,3000,24999
257,4.1,6.0,32.0,4.5,48,9.78483245149912,3000,3000
658,4.3,6.0,32.0,4.58,64,9.78483245149912,1750,1799
335,4.0,6.0,32.0,3.7,16,9.78483245149912,3000,980
495,3.6,6.0,35.0,4.5,64,9.78483245149912,1050,849
15,4.6,6.0,128.0,6.67,48,8.0,3800,42990
3,4.4,6.0,64.0,6.4,48,15.0,3800,18999
351,4.3,8.0,64.0,4.4,64,9.78483245149912,3500,1346
256,3.4,6.0,64.0,4.54,20,8.0,3500,639
761,4.5,8.0,256.0,6.67,48,8.0,3800,42990
651,3.9,4.0,64.0,4.54,64,9.78483245149912,1750,1399
570,4.3,3.0,32.0,5.65,38,2.0,3000,13999
501,4.1,2.0,32.0,5.5,38,5.0,4900,15999
542,4.5,6.0,32.0,4.5,64,9.78483245149912,3000,649
826,3.5,6.0,32.0,4.52,48,9.78483245149912,3500,2599
360,4.3,6.0,128.0,5.99,35,5.0,3700,16999
324,4.4,6.0,128.0,6.59,48,8.0,3800,16999
479,4.6,4.0,64.0,6.2,35,8.0,3500,53990
9,4.5,8.0,256.0,6.18,35,5.0,3800,22999
249,3.8,8.0,64.0,4.77,48,9.78483245149912,3000,649
22,3.8,6.0,32.0,4.54,48,9.78483245149912,3000,1349
356,4.1,6.0,32.0,4.7,48,5.0,3000,1499
221,4.3,4.0,128.0,5.84,38,2.0,3000,19999
567,3.6,1.0,32.0,4.5,48,9.78483245149912,3500,799
742,4.5,8.0,128.0,6.44,48,13.0,4100,29499
820,4.2,4.0,4.0,4.5,64,13.0,3500,1599
477,3.8,4.0,64.0,4.54,48,9.78483245149912,1200,3580
340,4.1,6.0,32.0,3.7,64,9.78483245149912,5000,930
795,4.1,4.0,64.0,5.9,38,2.0,3000,14999
203,4.4,3.0,32.0,6.1,38,5.0,3260,13990
237,3.5,6.0,64.0,4.5,48,12.0,3000,1099
93,4.3,6.0,64.0,4.4,64,9.78483245149912,3500,1100
420,3.8,6.0,32.0,4.77,48,15.0,3000,995
737,3.4,6.0,64.0,4.54,20,9.78483245149912,3500,639
528,3.9,12.0,12.0,4.54,48,9.78483245149912,3000,1579
284,4.3,3.0,32.0,5.7,38,2.0,3800,9939
184,4.1,6.0,32.0,4.54,48,8.0,3000,3149
676,4.5,4.0,64.0,6.26,35,5.0,3000,15990
482,3.8,6.0,32.0,4.54,48,9.78483245149912,2800,1299
153,4.1,6.0,32.0,4.77,48,9.78483245149912,2500,1099
75,4.7,8.0,64.0,5.8,35,12.0,3500,106600
800,4.4,6.0,64.0,6.4,48,5.0,3800,18999
519,3.9,1.0,16.0,4.58,48,8.0,3000,1399
277,4.3,3.0,32.0,6.22,38,2.0,4230,9990
68,3.9,3.0,16.0,5.0,38,5.0,4200,8798
533,3.9,6.0,32.0,4.77,48,9.78483245149912,1750,1451
188,3.3,2.0,16.0,5.0,8,9.78483245149912,2000,7199
271,4.5,6.0,64.0,6.6,64,12.0,4700,17999
679,3.4,6.0,64.0,4.5,48,9.78483245149912,3000,599
236,4.3,8.0,64.0,4.77,48,9.78483245149912,3000,649
88,4.0,4.0,32.0,5.7,38,2.0,3030,9999
710,4.4,6.0,128.0,6.38,48,8.0,4700,19990
117,4.3,4.0,64.0,4.54,48,20.0,1020,2450
125,3.5,6.0,64.0,4.5,48,8.0,3000,639
687,4.4,4.0,128.0,6.53,48,2.0,3500,16490
289,4.4,6.0,64.0,6.4,48,5.0,3800,18999
238,4.6,8.0,64.0,5.5,35,12.0,3500,49900
0,4.3,4.0,128.0,6.0,48,13.0,4000,24999
827,4.7,8.0,64.0,6.5,35,12.0,3500,117100
404,3.8,6.0,32.0,4.4,48,9.78483245149912,2500,705
